iter	Passed	Remaining
0	1	167
1	3	192
2	5	171
3	6	152
4	9	180
5	12	194
6	13	185
7	15	180
8	18	187
9	21	195
10	23	187
11	24	179
12	25	172
13	27	169
14	30	170
15	31	167
16	33	163
17	34	158
18	37	161
19	40	161
20	41	157
21	43	153
22	44	149
23	46	145
24	48	145
25	51	147
26	52	143
27	57	149
28	59	145
29	61	143
30	62	139
31	64	136
32	65	133
33	67	130
34	68	127
35	71	127
36	74	127
37	76	125
38	78	123
39	81	122
40	83	119
41	85	117
42	88	116
43	89	114
44	91	111
45	92	108
46	94	106
47	95	103
48	97	101
49	98	98
50	100	96
51	102	94
52	104	92
53	105	90
54	107	88
55	111	87
56	118	89
57	119	86
58	121	84
59	122	81
60	125	80
61	126	77
62	128	75
63	129	73
64	132	71
65	133	69
66	135	66
67	137	64
68	138	62
69	140	60
70	142	58
71	144	56
72	148	55
73	150	53
74	152	50
75	153	48
76	156	46
77	157	44
78	158	42
79	160	40
80	163	38
81	165	36
82	166	34
83	167	31
84	169	29
85	170	27
86	171	25
87	175	23
88	176	21
89	182	20
90	183	18
91	185	16
92	186	14
93	187	11
94	188	9
95	190	7
96	191	5
97	194	3
98	196	1
99	198	0
