iter	Passed	Remaining
0	1	1409
1	2	1457
2	4	1380
3	5	1347
4	6	1339
5	10	1740
6	12	1740
7	13	1669
8	14	1622
9	16	1602
10	17	1569
11	18	1542
12	19	1514
13	21	1492
14	22	1470
15	26	1633
16	28	1627
17	29	1605
18	30	1577
19	32	1591
20	33	1581
21	35	1564
22	36	1544
23	37	1525
24	41	1634
25	43	1616
26	44	1604
27	45	1584
28	46	1572
29	48	1556
30	49	1541
31	50	1525
32	51	1508
33	52	1494
34	55	1538
35	57	1531
36	58	1522
37	60	1519
38	62	1538
39	63	1534
40	65	1523
41	66	1512
42	67	1503
43	73	1588
44	75	1611
45	77	1604
46	78	1592
47	79	1582
48	81	1573
49	82	1565
50	84	1580
51	87	1589
52	88	1587
53	89	1576
54	91	1565
55	92	1555
56	94	1558
57	95	1549
58	96	1541
59	102	1613
60	105	1617
61	106	1615
62	108	1610
63	109	1605
64	111	1600
65	115	1632
66	117	1633
67	118	1629
68	120	1632
69	122	1628
70	124	1628
71	126	1624
72	130	1651
73	131	1648
74	133	1652
75	135	1649
76	137	1650
77	139	1647
78	141	1653
79	146	1682
80	148	1680
81	149	1674
82	150	1661
83	151	1656
84	154	1660
85	155	1656
86	161	1699
87	164	1700
88	166	1704
89	168	1705
90	170	1707
91	175	1735
92	180	1763
93	183	1765
94	184	1758
95	187	1766
96	190	1768
97	191	1763
98	193	1759
99	195	1755
100	196	1752
101	198	1746
102	202	1759
103	204	1757
104	205	1751
105	206	1745
106	208	1739
107	209	1733
108	211	1728
109	212	1722
110	216	1737
111	218	1733
112	221	1737
113	223	1736
114	225	1733
115	226	1727
116	227	1719
117	232	1734
118	234	1732
119	235	1727
120	236	1721
121	238	1715
122	239	1710
123	241	1705
124	242	1700
125	247	1714
126	248	1705
127	249	1698
128	250	1692
129	251	1685
130	253	1678
131	254	1672
132	255	1665
133	256	1659
134	257	1653
135	262	1666
136	263	1662
137	265	1655
138	266	1652
139	268	1646
140	269	1641
141	270	1635
142	272	1632
143	273	1627
144	276	1630
145	277	1625
146	279	1619
147	280	1613
148	281	1607
149	282	1602
150	283	1596
151	285	1590
152	287	1594
153	290	1596
154	292	1593
155	293	1588
156	294	1582
157	295	1575
158	297	1573
159	299	1572
160	303	1583
